team,player
Algeria,Riyad Mahrez
Argentina,Julian Alvarez
Argentina,Lautaro Martínez
Argentina,Lionel Messi
Argentina,Alexis Mac Allister
Argentina,Enzo Fernández
Austria,David Alaba
Austria,Marcel Sabitzer
Belgium,Jérémy Doku
Belgium,Kevin De Bruyne
Brazil,Alisson Becker
Brazil,Bruno Guimarães
Brazil,Casemiro
Brazil,Gabriel Martinelli
Brazil,Marquinhos
Brazil,Neymar
Brazil,Raphinha
Brazil,Vinícius Júnior
Canada,Alphonso Davies
Canada,Jonathan David
Colombia,James Rodríguez
Colombia,Luis Díaz
Croatia,Joško Gvardiol
Croatia,Luka Modrić
Czechia,Tomáš Souček
Denmark,Rasmus Højlund
Ecuador,Moisés Caicedo
Ecuador,Pervis Estupiñán
Ecuador,Willian Pacho
Egypt,Mohamed Salah
England,Bukayo Saka
England,Declan Rice
England,Eberechi Eze
England,Harry Kane
England,Ivan Toney
England,Jude Bellingham
England,Marc Guéhi
England,Morgan Rogers
England,Reece James
France,Bradley Barcola
France,Dayot Upamecano
France,Ibrahima Konaté
France,Kylian Mbappé
France,Marcus Thuram
France,Michael Olise
France,Mike Maignan
France,Ousmane Dembélé
France,William Saliba
Germany,Antonio Rüdiger
Germany,Florian Wirtz
Germany,Jamal Musiala
Ghana,Antoine Semenyo
Ivory Coast,Franck Kessié
Japan,Kaoru Mitoma
Japan,Takefusa Kubo
Mexico,Raúl Jiménez
Mexico,Santiago Giménez
Morocco,Achraf Hakimi
Morocco,Brahim Díaz
Morocco,Yassine Bounou
Netherlands,Cody Gakpo
Netherlands,Jeremie Frimpong
Netherlands,Ryan Gravenberch
Netherlands,Virgil van Dijk
Netherlands,Xavi Simons
New Zealand,Chris Wood
Norway,Erling Haaland
Norway,Martin Ødegaard
Panama,Adalberto Carrasquilla
Paraguay,Miguel Almirón
Portugal,Bernardo Silva
Portugal,Bruno Fernandes
Portugal,Cristiano Ronaldo
Portugal,Gonçalo Ramos
Portugal,João Cancelo
Portugal,Nuno Mendes
Portugal,Rafael Leão
Portugal,Vitinha
Scotland,Scott McTominay
Senegal,Ismaïla Sarr
Senegal,Sadio Mané
Serbia,Aleksandar Mitrović
South Korea,Kim Min-jae
South Korea,Son Heung-min
Spain,Dani Olmo
Spain,Fabián Ruiz
Spain,Lamine Yamal
Spain,Martín Zubimendi
Spain,Nico Williams
Spain,Pedri
Spain,Rodri
Sweden,Alexander Isak
Sweden,Viktor Gyökeres
Switzerland,Manuel Akanji
Turkey,Hakan Çalhanoğlu
Uruguay,Darwin Núñez
Uruguay,Federico Valverde
USA,Antonee Robinson
USA,Christian Pulisic
USA,Gio Reyna
USA,Tyler Adams
USA,Weston McKennie
